Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
КРЫМСКАЯ-РОЗА,Косметика для лица,"Мицеллярная вода на основе гидролата розы для быстрого очищения без воды, 100 мл",579.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Гоммаж на основе гидролата розы для обновления кожи,899.0,,0.075,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гидролат розы для сохранения красоты, 100 мл",689.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гель для умывания на основе гидролата розы для эффективного очищения, 100 мл",579.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гель для умывания на основе гидролата розы, 30 мл",179.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Обновляющий тоник на основе гидролата розы, 30 мл",195.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Тоник для лица увлажняющий с экстрактом лаванды, 30 мл",195.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Мицеллярная вода для лица освежающая с экстрактом лаванды, 30 мл",179.0,,0.03,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем дневной с экстрактом грязи Сакского озера,1399.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гидролат розы  с экстрактом грязи Сакского озера, 200 мл",899.0,,0.2,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Эксфолиант выравнивающий с экстрактом грязи Сакского озера,899.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Крем восстанавливающий с экстрактом грязи Сакского озера,1399.0,,0.05,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,"Гидролат розы  с экстрактом грязи Сакского озера, 100 мл",689.0,,0.1,литр
КРЫМСКАЯ-РОЗА,Косметика для лица,Маска глубокоочищающая с грязью Сакского озера,899.0,,0.1,литр
